N. Tomba,Bibliografia essenziale
703,Trevisanello 2024
704,Trevisanello 2024
705,"Guarnieri 1993, p. 189, nota 11; Trevisanello 2024"
706,Trevisanello 2024
707,Trevisanello 2024
708,Gaucci 2014
709,"Timossi 2019; Gaucci in Spina 2023, p. 402"
710,Gaucci 2014
711,"Hostetter 2001, pp. 119-120, n. 293; Trevisanello 2024"
712,"Massei 1978, pp. 41-42; Trevisanello 2024"
713,Gaucci 2014
714,Timossi 2019
715,"Berti 1993, p. 4; Locatelli 1993, p. 351; Timossi 2019"
716,Timossi 2019
717,Gaucci 2014
718,Gaucci 2014
719,Gaucci 2014
720,"Serra 2022; Serra 2025, p. 241"
721,Trevisanello 2024
722,"Aurigemma 1965, p. 79, tavv. 90-100; Trevisanello 2024"
723,Trevisanello 2024
724,"Parrini 2021, pp. 296-297; Gaucci 2014"
725,Gaucci 2014
726,"Gaucci 2014; Serra 2025, p. 241"
727,Pozzi 2011; Trevisanello 2024
728,Trevisanello 2024
729,Gaucci 2014
730,"Hostetter 2001, pp. 121-122, n. 300; Trevisanello 2024"
731,"Massei 1978, pp. 44-45, n. 29, tav. XI, n. 1; Trevisanello 2024"
732,Pozzi 2011; Trevisanello 2024
733,"Aurigemma 1965, p. 80, tavv. 101-102; Pozzi 2011; Trevisanello in Spina 2023, p. 118; Trevisanello 2024"
734,Timossi 2019
735,Trevisanello 2024
736,Trevisanello 2024
737,"Pozzi 2011; Gaucci in Spina 2023, p. 401; Trevisanello 2024"
738,"Gaucci 2014; Serra 2025, p. 241"
739,"Baldoni 1981, pp. 83-84, n. 22; Gaucci 2014"
740,"Aurigemma 1965, pp. 9-11, tavv. 5-9; Berti 1983, p. 86; Hostetter 2001, pp. 110-111, n. 268, fig. 184; Trevisanello 2024"
741,Pozzi 2011; Timossi 2019
742,Gaucci 2014
743,"Serra 2022; Serra in Spina 2023, p. 429; Serra 2025, p. 241"
744,Trevisanello 2024
745,"Pozzi 2011; Uggeri 1978, n. 5b, p. 345; Trevisanello 2024"
746,Gaucci 2014
747,"Berti 1991, pp. 42-43; Hostetter 1986, pp. 77-79; Locatelli 1993, pp. 344-346, nn. 814-833; Trevisanello 2024"
748,"Berti 1991, pp. 19-20; Gaucci 2014"
749,"Aurigemma 1960, pp. 74-77, tavv. 76-88; Parrini 1993a, p. 281; Gaucci 2014; Di Giorno in Spina 2023, p. 121"
750,Gaucci 2014
751,"Gaucci 2014; Serra 2025, p. 241"
752,"Parrini 2021, pp. 298-299; Gaucci 2014"
753,Trevisanello 2024
754,Trevisanello 2024
755,"Hostetter 1986, p. 110; Trevisanello 2024"
756,"Gaucci 2014; Trevisanello in Spina 2023, pp. 165-166"
757,Trevisanello 2024
758,"Berti 1991; Curti 1993b, pp. 140-141; Gaucci 2014"
759,"Baldoni 1981, p. 113; Gaucci 2014"
760,"Curti 2001, pp. 138-139, tav. 97; Trevisanello 2024"
761,"Massei 1978, pp. 47-48, tav. XII, nn. 1-2; Trevisanello 2024"
762,"Parrini 1993; pp. 144-147; Parrini 2021; pp. 299-300; Gaucci 2014; Serra 2025, p. 241"
763,Gaucci 2014
764,"Aurigemma 1965, pp. 32-33, tavv. 32-33; Massei 1978, n. 46, pp. 69-70; Pozzi 2011; Trevisanello in Spina 2022, pp. 72-73; Trevisanello in Spina 2023, p. 429; Trevisanello 2024"
765,Gaucci 2014
766,Gaucci 2014
767,Trevisanello 2016-2017
768,Trevisanello 2016-2017
769,Trevisanello 2016-2017
770,"Pozzi 2011; Serra 2022; Serra 2025, p. 241"
771,"Massei 1978, pp. 48-49; Serra 2022; Serra 2025, p. 241"
772,"Alfieri, Arias 1960, p. 84; Gaucci 2014; Serra 2025, p. 242"
773,Pozzi 2011; Trevisanello 2024
774,Pozzi 2011; Trevisanello 2024
775,Pozzi 2011; Trevisanello 2024
776,Gaucci 2014
777,Gaucci 2014
778,Pozzi 2011; Trevisanello 2024
779,"Arias 1960; pp. 311-314; Alfieri 1979; p. XXXVII; Mostra 1960; pp. 311-316; Berti 1983; p. 60; figg. 27-28; Classico Anticlassico 1996; pp. 105-106; Desantis 1993b pp. 313-315, nn. 581-608; Massei 1978, pp. 49-51, n. 33; Pozzi 2011; pp. 218-221; Trevisanello in Spina 2023; p. 379; n. 239; Trevisanello 2024"
780,"Alfieri 1979, p. XXXVII; Trevisanello 2024"
781,"Serra 2022; Serra 2025, p. 242"
782,Massei 1978; pp. 51-52; Trevisanello 2024
783,Trevisanello 2024
784,"Aurigemma 1965, 34-35, tavv. 34-37; Hostetter 1986, 103, fig. 15; Massei 1978, 53-55; Trevisanello 2024"
785,"Classico Anticlassico 1996, pp. 127-128, n. 37.00; Cornelio Cassai 1993, pp. 327-329, 332-334, nn. 752-778; Trevisanello in Spina 2023, p. 378, n. 238; Trevisanello 2024"
786,"Serra 2022; Serra 2025, p. 242"
787,"Serra 2022; Serra 2025, p. 242"
788,"Pozzi 2011; Serra 2022; Serra 2025, p. 242"
789,Ruscelli 2014-2015
790,"Berti 1991, pp. 21-23; Gaucci 2014"
791,Gaucci 2014
792,Gaucci 2014
793,Trevisanello 2024
794,Pozzi 2011; Trevisanello 2024
795,Trevisanello 2024
796,Trevisanello 2024
797,Gaucci 2014
798,Gaucci 2014
799,Gaucci 2014
800,Gaucci 2014
801,Gaucci 2014
802,Gaucci 2014
803,Baldoni 1981 p . 143; Gaucci 2014
804,"Gaucci 2014; Bandini in Spina 2023, p. 88"
805,Gaucci 2014
806,Ruscelli 2014-2015
807,Ruscelli 2014-2015
808,Ruscelli 2014-2015
809,Ruscelli 2014-2015
810,"Baldoni 1981, pp. 109-110; Ruscelli 2014-2015"
811,Ruscelli 2014-2015
812,Ruscelli 2014-2015
813,Grandi 2017-2018
814,"Aurigemma 1965, pp. 81-83, tavv. 103-107; Gaucci 2014"
815,Grandi 2017-2018
816,"Grandi 2017-2018; Serra 2025, p. 242."
817,Grandi 2017-2018
818,Grandi 2017-2018
819,"Uggeri 1978,1 pp. 371-372 e p.379 Tav. XXIX fig. 2; Baldoni 1981 p.134; Ruscelli 2014-2015"
820,"Massei 1978, pp. 80-81; Grandi 2017-2018"
821,Grandi 2017-2018
822,Grandi 2017-2018
823,"Grandi 2017-2018; Grandi in Spina 2023, p. 385"
824,Grandi 2017-2018
825,Grandi 2017-2018
826,Ruscelli 2014-2015
827,Gaucci 2014
828,Pozzi 2011; Trevisanello 2024
829,Gaucci 2014
830,"Massei 1978, pp. 81-83; Trevisanello 2016-2017; Serra 2025, p. 246"
831,Trevisanello 2016-2017
832,Grandi 2017-2018
833,Grandi 2017-2018
834,"Massei 1978, pp. 55-57; Grandi 2017-2018; Grandi in Spina 2023, p. 426"
835,Grandi 2017-2018
836,Grandi 2017-2018
837,Grandi 2017-2018
838,Grandi 2017-2018
839,"Berti 1983, p. 54; Ruscelli 2014-2015; Serra 2025, p. 242"
840,Ruscelli 2014-2015
841,Ruscelli 2014-2015
842,Ruscelli 2014-2015
843,Ruscelli 2014-2015
844,"Baldoni 1981, p. 72; Gaucci 2014"
845,Gaucci 2014
846,Gaucci 2014
847,Baldoni 1981 pp. 148-149; Gaucci 2014
848,"Baldoni 1981, p.123, n. 82; Gaucci 2014"
849,"Massei 1978, pp. 57-59; Grandi 2017-2018"
850,Grandi 2017-2018
851,Grandi 2017-2018
852,Grandi 2017-2018
853,Grandi 2017-2018
854,Trevisanello 2016-2017
855,Trevisanello 2016-2017
856,"Baldoni 1981, p. 175; Ruscelli 2014-2015"
857,"Aurigemma 1965, pp. 36-38, tavv. 38-41; Hostetter 2001, p. 93; Gaucci 2014"
858,"Berti 1983, p. 59; Parrini 1985, pp. 192-199; Trevisanello 2024"
859,Trevisanello 2016-2017
860,Trevisanello 2016-2017
861,Trevisanello 2016-2017
862,"Alfieri, Arias 1955, pp. 36-37; Aurigemma, Alfieri 1957, p. 27; Mostra 1960, p. 328, n. 1043, tav. CIV; Berti 1993 p. 38 fig. 32; Serra 2025, p. 242; Ruscelli 2014-2015"
863,"Ruscelli 2014-2015; Ruscelli in Spina 2023, p. 287"
864,Grandi 2017-2018
865,"Massei 1978, pp. 113-114, tav. XXV, fig. 3; Trevisanello 2016-2017"
866,Grandi 2017-2018
867,"Aurigemma 1960, pp. 165-167, Tavv. 191-194; Mostra 1960, pp. 282-284, Tav. XLI; Alfieri 1979, p. XXXIX; Parrini 1993a, pp. 277-278; Pozzi 2011; Natalucci 2014-2015; Natalucci in Spina 2023, p. 278"
868,"Baldoni 1981, pp. 153-154; Ruscelli 2014-2015"
869,Ruscelli 2014-2015
870,Ruscelli 2014-2015
871,Natalucci 2014-2015
872,"Pozzi 2011; Natalucci 2014-2015; Gaucci in Spina 2023, p. 405"
873,"Ruscelli 2014-2015; Serra in Spina 2022, pp. 108-109"
874,Ruscelli 2014-2015
875,Ruscelli 2014-2015
876,Ruscelli 2014-2015
877,Ruscelli 2014-2015
878,Ruscelli 2014-2015
879,"Baldoni 1981, p. 147; Ruscelli 2014-2015"
880,Trevisanello 2016-2017
881,Trevisanello 2016-2017
882,Natalucci 2014-2015
883,"Natalucci 2014-2015; Serra 2025, p. 242"
884,Natalucci 2014-2015
885,Natalucci 2014-2015
886,Natalucci 2014-2015
887,Romagnoli 2015
888,Romagnoli 2015
889,Romagnoli 2015
890,"Massei 1978, p. 83-84; Natalucci 2014-2015"
891,Natalucci 2014-2015
892,"Romagnoli 2015; Romagnoli in Spina 2023, p.439"
893,Curti 1993 pp. 138-139; Ruscelli 2014-2015
894,Ruscelli 2014-2015
895,Ruscelli 2014-2015
896,"Natalucci 2014-2015; Serra 2025, pp. 110, 130, 243"
897,"Camerin 1993a, p. 271; Natalucci 2014-2015"
898,"Baldoni 1981, pp. 124-125, Cornelio Cassai 1993, pp. 333-334; Classico Anticlassico 1996, p. 110; Natalucci 2014-2015; Natalucci in Spina 2023, p. 377"
899,Trevisanello 2014-2015
900,Natalucci 2014-2015
901,Natalucci 2014-2015
902,Trevisanello 2014-2015
903,Trevisanello 2016-2017
904,Pozzi 2011; Trevisanello 2024
905,"Serra 2022; Serra 2025, p. 243"
906,Romagnoli 2015
907,Romagnoli 2015
908,Romagnoli 2015
909,"Massei 1978, pp. 59-61, tav. XV, n. 1; Trevisanello in Spina 2023, p. 288; Trevisanello 2024"
910,"Romagnoli 2015; Romagnoli in Spina 2023, p. 205"
911,"Romagnoli 2015; Serra 2025, p. 243"
912,Romagnoli 2015
913,"Romagnoli 2015; Serra 2025, p. 232"
914,Romagnoli 2015
915,"Aurigemma 1965, pp. 84-86, tavv. 108-111; Hostetter 1986, pp. 43-44, n. 18; Gaucci 2014"
916,Gaucci 2014
917,Gaucci 2014
918,Gaucci 2014
919,Gaucci 2014
920,"Baldoni 1981, p.178, Tav .XLV; Gaucci 2014"
921,Gaucci 2014
922,Gaucci 2014
923,Gaucci 2014
924,"Gaucci 2014; Serra 2025, p. 243"
925,Gaucci 2014
926,Gaucci 2014
927,Gaucci 2014
928,Gaucci 2014
929,"Serra in Spina 2022, p. 52; Gaucci 2014"
930,Gaucci 2014
931,"Aurigemma 1965, pp. 87-88, Tavv. 112-115; Parmeggiani 1987, pp. 191, 200- 204, figg. 143- 146; Serra in Spina 2022, p. 51; Gaucci 2014; Serra in Spina 2023, p. 196"
932,Gaucci 2014
933,"Massei 1978, pp. 84-86; Berti 1991, p. 33; Serra in Spina 2022, pp. 52-53; Gaucci 2014; Serra in Spina 2023, p. 195"
934,Gaucci 2014
935,Gaucci 2014
936,"Aurigemma 1960, p. 110; Gaucci 2014"
937,Gaucci 2014
938,Gaucci 2014
939,"Baldoni 1981, p.140, n. 102; Serra in Spina 2022, p. 53; Gaucci 2014"
940,"Baldoni 1981, p. 141, n. 104; Gaucci 2014"
941,Gaucci 2014
942,Gaucci 2014
943,Gaucci 2014
944,"Baldoni 1981, p. 103, n. 53; Gaucci 2014"
945,"Baldoni 1981, p. 104, n. 54; Gaucci 2014"
946,Gaucci 2014
947,"Trevisanello 2014-2015; Parrini 2021, pp. 302-303"
948,Trevisanello 2024
949,Trevisanello 2014-2015
950,Trevisanello 2014-2015
951,Trevisanello 2014-2015
952,Trevisanello 2024
953,Trevisanello 2024
954,Trevisanello 2024
955,Trevisanello 2024
956,Trevisanello 2014-2015
957,Pozzi 2011; Trevisanello 2024
958,Trevisanello 2014-2015
959,Trevisanello 2014-2015
960,"Berti 1983, p. 54; Trevisanello 2014-2015; Serra 2025, p. 243"
961,"Aurigemma 1965, pp. 106-108, tavv. 136-139; Hostetter 1986, pp. 112-113, n. 97; Hostetter 2001, pp. 150-151, n. 371; Paoli 1993, pp. 96-97; Trevisanello 2024"
962,Trevisanello 2014-2015
963,Trevisanello 2014-2015
964,Trevisanello 2014-2015
965,Trevisanello 2024
966,Trevisanello 2024
967,Trevisanello 2024
968,Trevisanello 2024
969,Trevisanello 2024
970,Trevisanello 2024
971,"Aurigemma 1965, p, 138, tav. LXXV; Aurigemma 1965, pp. 104-105, tavv. 132-135; Berti 1983, p. 79, fig. 41; Camerin 1993b, p. 341, n. 801; Felletti-Maj 1940, 2, p. 50; Pozzi 2011; Uggeri 1978, p. 370, n. 33; Trevisanello 2024"
972,Trevisanello 2024
973,Trevisanello 2024
974,Trevisanello 2024
975,Trevisanello 2024
976,Trevisanello 2024
977,Serra 2016-2017
978,Serra 2016-2017
979,Trevisanello 2024
980,"Curti 2001, p. 142, tav. 97; Trevisanello 2024"
981,"Aurigemma 1965, pp. 89-90, tavv. 116-117; Trevisanello 2024"
982,Trevisanello 2024
983,"Parrini 1993a, pp. 273, 278; Timossi 2019"
984,Timossi 2019
985,Timossi 2019
986,Pozzi 2011; Timossi 2019
987,Timossi 2019
988,Timossi 2019
989,Timossi 2019
990,Timossi 2019
991,Timossi 2019
992,"Timossi 2019; Serra 2025, p. 243"
993,Timossi 2019
994,Timossi 2019
995,"BERTI 1993, p. 44; Timossi 2019; Serra 2025, p. 243"
996,Timossi 2019
997,Timossi 2019
998,Timossi 2019
999,Timossi 2019
1000,Pozzi 2011; Timossi 2019
1001,"Timossi 2019; Serra 2025, p. 233"
1002,Timossi 2019
1003,Timossi 2019
1004,Timossi 2019
1005,Timossi 2019
1006,"Pozzi 2011; Uggeri 1978, 1 p. 373 n. a , fig. 3; Serra 2016-2017"
1007,"Berti 1991, p. 28; Serra 2016-2017; Serra 2025, p. 243"
1008,Serra 2016-2017
1009,"Baldoni 1993, p. 116-117; Serra 2016-2017"
1010,Serra 2016-2017
1011,Serra 2016-2017
1012,Serra 2016-2017
1013,Serra 2016-2017
1014,"BERTI 1993, p. 42; Pozzi 2011; Timossi 2019"
1015,"Timossi 2019; Serra 2025, p. 243"
1016,Pozzi 2011; Timossi 2019
1017,Timossi 2019
1018,Trevisanello 2016-2017
1019,Trevisanello 2016-2017
1020,Trevisanello 2016-2017
1021,Trevisanello 2016-2017
1022,Trevisanello 2016-2017
1023,Trevisanello 2016-2017
1024,"Timossi 2019; Serra 2025, p. 243"
1025,Timossi 2019
1026,"Pozzi 2011; Timossi 2019; Gaucci in Rasna 2019, p. 415"
1027,"Trevisanello 2016-2017; Trevisanello in Spina 2023, p. 287"
1028,Trevisanello 2016-2017
1029,Massei 1978 pp. 107-108; Trevisanello 2016-2017
1030,Trevisanello 2016-2017
1031,Trevisanello 2016-2017
1032,Trevisanello 2016-2017
1033,"Uggeri 1978, pp. 368-369; Pozzi 2011; Trevisanello 2016-2017; Serra 2025, p. 244"
1034,"Massei 1978, pp. 108-110; Trevisanello 2016-2017"
1035,Timossi 2019
1036,"Massei 1978, pp. 61-63, tavv. XVI-XVII; Trevisanello 2016-2017"
1037,"Berti et alii 1993, p. 26; Guarnieri 1993, p. 189, nota 11, p. 190, nota 13; Trevisanello 2016-2017"
1038,Trevisanello 2016-2017
1039,"Aurigemma 1965, pp. 92-93, tavv. 118-120; Trevisanello 2016-2017"
1040,"Camerin 1993a, pp. 271-272; Trevisanello 2016-2017; Serra 2025, p. 244"
1041,"Trevisanello 2016-2017; Serra 2025, p. 244"
1042,Trevisanello 2016-2017
1043,Trevisanello 2016-2017
1044,Trevisanello 2016-2017
1045,Trevisanello 2016-2017
1046,Trevisanello 2016-2017
1047,Trevisanello 2016-2017
1048,Trevisanello 2016-2017
1049,Trevisanello 2016-2017
1050,"Massei 1978, pp. 86-88, tav. XXII, fig. 2; Classico Anticlassico 1996, pp. 108; Pozzi 2011; Trevisanello 2016-2017"
1051,"Massei 1978, pp. 88-90, tav. XXII, fig. 3; Trevisanello 2016-2017; Serra 2025, p. 244."
1052,"Guzzo 1993, p. 227, nota 37; Parrini 1993a, pp. 274, 282; Timossi 2019"
1053,Trevisanello 2016-2017
1054,Trevisanello 2016-2017
1055,Trevisanello 2016-2017
1056,Trevisanello 2016-2017
1057,"Uggeri 1978, n. 44c, p. 381; Pozzi 2011; Ruscelli 2016-2017; Gaucci in Rasna 2019, p. 415"
1058,"Desantis 1993a, p. 40, nota 82; Ruscelli 2016-2017"
1059,Trevisanello 2016-2017
1060,"Berti in Classico Anticlassico 1996, p. 155, n. 59.00; Ruscelli 2016-2017"
1061,Trevisanello 2016-2017
1062,Trevisanello 2016-2017
1063,Trevisanello 2016-2017
1064,"Uggeri 1978, n. 44d, p. 381; Pozzi 2011; Ruscelli 2016-2017; Ruscelli in Spina 2023, pp. 134-135"
1065,"Baldoni 1981, pp. 159-161; Desantis 1996, p. 365, 367, nota 40, 48, 49; Ruscelli 2016-2017"
1066,"Uggeri 1978, n. 46a, p. 382; Pozzi 2011; Ruscelli 2016-2017"
1067,"Trevisanello 2016-2017; Serra 2025, p. 244"
1068,Trevisanello 2016-2017
1069,Ruscelli 2016-2017
1070,Trevisanello 2016-2017
1071,Trevisanello 2016-2017
1072,Ruscelli 2016-2017
1073,"Guarnieri 1993, p. 184, nota 11; Ruscelli 2016-2017"
1074,Ruscelli 2016-2017
1075,Ruscelli 2016-2017
1076,"Trevisanello 2016-2017; Serra 2025, p. 244"
1077,Pozzi 2011; Ruscelli 2016-2017
1078,"Guarnieri 1993, p. 184, nota 11; Berti in Classico Anticlassico 1996, p. 124; Desantis 1996, note a p. 369; Ruscelli 2016-2017; Ruscelli in Spina 2023, pp. 136-141"
1079,Trevisanello 2014-2015
1080,Pozzi 2011; Ruscelli 2016-2017
1081,"Baldoni 1981, pp. 133-134; Ruscelli 2016-2017"
1082,"Berti, Bisi, Camerin 1993, p. 27; Guarnieri 1993, p. 184, nota 11; Berti 1993, pp. 44-45, fig. 39; Desantis 1993f p. 137; Desantis 1993c, pp. 317-320; Berti in Classico Anticlassico, p. 154; Ruscelli 2016-2017"
1083,"Berti 1993, p. 45; Ruscelli 2016-2017"
1084,Trevisanello 2014-2015
1085,"Trevisanello 2014-2015; Serra 2025, p. 244"
1086,Trevisanello 2014-2015
1087,"Berti 1983, p. 54; Trevisanello 2014-2015; Serra 2025, p. 244"
1088,Ruscelli 2016-2017
1089,"Berti 1993, pp. 44-45; Pozzi 2011; Ruscelli 2016-2017; Gaucci in Spina 2023, p. 407"
1090,Pozzi 2011; Ruscelli 2016-2017
1091,"Pozzi 2011; Uggeri 1991, p. 260-263, nn. 28-32; Trevisanello 2014-2015"
1092,"Pozzi 2011; Ruscelli 2016-2017; Serra 2025, p. 244"
1093,"Guarnieri 1993, p. 184, nota 11; Trevisanello 2016-2017; Trevisanello in Spina 2023, p. 425"
1094,Ruscelli 2016-2017
1095,Timossi 2019
1096,"Pozzi 2011; Parrini 2021, pp. 303-305; Trevisanello 2024"
1097,Gaucci 2014
1098,"Gaucci 2014; Serra 2025, p. 233"
1099,Gaucci 2014
1100,Gaucci 2014
1101,Gaucci 2014
1102,"Gaucci 2014; Trevisanello in Spina 2023, p. 89"
1103,"Felletti-Maj 1940, p. 326; Trevisanello 2024"
1104,"Felletti-Maj 1940, p. 326; Trevisanello 2024"
1105,"Felletti-Maj 1940, p. 326; Trevisanello 2024"
1106,Timossi 2019
1107,Timossi 2019
1108,"Berti 1993, p. 41; Guzzo 1993, p. 224, nota 24; Timossi 2019"
1109,"Timossi 2019; Serra 2025, p. 244"
1110,"Timossi 2019; Serra 2025, p. 245"
1111,Timossi 2019
1112,Timossi 2019
1113,"Felletti-maj 1940, p. 327; Timossi 2019; Serra 2025, p. 245"
1114,Timossi 2019
1115,Timossi 2019
1116,Timossi 2019
1117,"Felletti-Maj 1940, p. 327; Timossi 2019"
1118,"Felletti-Maj 1940, p. 327; Timossi 2019"
1119,Timossi 2019
1120,Timossi 2019
1121,"Felletti-maj 1940, p. 327; Timossi 2019"
1122,"Felletti Maj, pp. 328-329; Timossi 2019"
1123,"Timossi 2019; Serra 2025, p. 233"
1124,Timossi 2019
1125,"Felletti-Maj 1940, p. 328; Parrini 2021, pp. 305-306; Trevisanello 2024"
1126,"Felletti-Maj 1940, p. 328; Trevisanello 2024"
1127,"Timossi 2019; Serra 2025, p. 233"
1128,Timossi 2019
1129,Timossi 2019
1130,Timossi 2019
1131,"Pozzi 2011; Massei 1978, pp. 90-92, tav. XXIII, nn. 1-2; Desantis 1993b, pp. 308-309, 310-312, nn. 543-573; Trevisanello 2024; Trevisanello in Spina 2023, p. 291"
1132,Timossi 2019
1133,Timossi 2019
1134,Timossi 2019
1135,Timossi 2019
1136,"Felletti-Maj 1940, p. 328; Timossi 2019; Serra 2025, p. 245"
1137,Timossi 2019
1138,Timossi 2019
1139,Timossi 2019
1140,Timossi 2019
1141,"Felletti-Maj 1940, p. 329; Berti 1993, p. 38; Timossi 2019"
1142,"Felletti-Maj 1940, p. 329; Timossi 2019"
1143,Timossi 2019
1144,"Felletti-Maj 1940, p. 329; Timossi 2019"
1145,"Desantis 1993b, pp. 308, 310; Timossi 2019; Serra 2025, p. 233"
1146,Timossi 2019
1147,"Felletti-Maj 1940, p. 329; Timossi 2019"
1148,Timossi 2019
1149,Timossi 2019
1150,Timossi 2019
1151,"Felletti-Maj 1940, p. 329; Timossi 2019"
1152,Timossi 2019
1153,Timossi 2019
1154,Timossi 2019
1155,"Felletti-Maj 1940, p. 329; Timossi 2019"
1156,"Felletti-Maj 1940, p. 329; Trevisanello 2024"
1157,"Felletti-Maj 1940, pp. 329-330; Curti 1993, p. 292, 294-295; Timossi 2019"
1158,"Timossi 2019; Timossi in Spina 2023, p. 286"
1159,Timossi 2019
1160,"Felletti-Maj 1940, p. 330; Trevisanello 2024"
1161,"Serra 2022; Serra 2025, p. 245"
1162,"Felletti-Maj 1940, p. 330; Trevisanello 2024"
1163,"Berti 1991, p. 39; Felletti-Maj 1940, p. 331; Trevisanello 2024"
1164,"Felletti-Maj 1940, p. 330; Trevisanello 2024"
1165,"Felletti-Maj 1940, p. 332; Trevisanello 2024"
1166,"Berti 1983, pp. 87-88; Felletti-Maj 1940, 2, pp. 50, 334; Trevisanello, Baldoni in Spina 2023, p. 291; Trevisanello 2024"
1167,"Felletti-Maj 1940, p. 335; Trevisanello 2024"
1168,"Aurigemma 1965, pp. 94-95, tavv. 121-124; Felletti-Maj 1940, p. 335; Trevisanello 2024"
1169,"Felletti-Maj 1940, p. 335; Trevisanello 2024"
1170,"Felletti-Maj 1940, p. 337; Serra 2016-2017"
1171,"Felletti-Maj 1940, p. 337; Serra 2016-2017"
1172,"Felletti-Maj 1940, p. 337; Serra 2016-2017"
1173,"Felletti-Maj 1940, p. 337; Uggeri 1978, n. 48, p. 385; Baldoni 1981, pp. 110-111; Pozzi 2011; Serra 2016-2017; Gaucci in Spina 2023, p. 403; Gaucci in Rasna 2019, p. 415"
1174,"Felletti-Maj 1940, p. 337; Serra 2016-2017; Serra in Spina 2023, p. 378"
1175,"Felletti-Maj 1940, p. 337; Serra 2016-2017; Serra 2025, p. 245"
1176,"Felletti-Maj 1940, p. 337; Serra 2016-2017"
1177,"Felletti-Maj 1940, p. 337; Serra 2016-2017"
1178,"Felletti-Maj 1940, pp. 337-338; Baldoni 1981, p. 144; Serra 2016-2017"
1179,"Felletti-Maj 1940, p. 338; Serra 2016-2017"
1180,"Felletti-Maj 1940, p. 338; Serra 2016-2017; Serra 2025, p. 245"
1181,"Felletti-Maj 1940, p. 338; Serra 2016-2017"
1182,"Felletti-Maj 1940, p. 338; Desantis 1993b, pp. 315-316; Serra 2016-2017"
1183,"Felletti-Maj 1940, p. 338; Serra 2016-2017"
1184,"Felletti-Maj 1940, p. 338; Serra 2016-2017"
1185,"Felletti-Maj 1940, p. 338; Massei 1978, pp. 93-94; Serra 2016-2017"
1186,"Felletti-Maj 1940, p. 338; Serra 2016-2017; Serra 2025, p. 233"
1187,"Felletti-Maj 1940, p. 338; Serra 2016-2017"
1188,"Felletti-Maj 1940, p. 338; Serra 2016-2017; Serra 2025, p. 245"
1189,"Classico Anticlassico 1996, pp. 122-123, n. 31.00; Felletti-Maj 1940, pp. 338-339; Serra 2016-2017; Serra 2025, p. 245"
1190,"Felletti-Maj 1940, p. 339; Massei 1978, pp. 94-95; Serra 2016-2017; Serra 2025, p. 233; Gaucci in Rasna 2019, p. 416"
1191,"Felletti-Maj 1940, p. 339; Serra 2016-2017"
1192,"Felletti-Maj 1940, p. 339; Serra 2016-2017; Serra 2025, p. 245"
1193,"Felletti-Maj 1940, p. 339; Serra 2016-2017"
1194,"Felletti-Maj 1940, p. 339; Serra 2016-2017"
1195,"Felletti-Maj 1940, p. 339; Serra 2016-2017"
1196,"Bisi, Camerin 1993, p. 28; Felletti-Maj 1940, p. 339; Serra 2016-2017; Serra 2025, p. 233"
1197,"Felletti-Maj 1940, p. 339; Serra 2016-2017"
1198,"Felletti-Maj 1940, p. 339; Serra 2016-2017"
1199,"Felletti-Maj 1940, p. 339; Serra 2016-2017; Serra 2025, p. 245"
1200,"Felletti-Maj 1940, p. 339; Serra 2016-2017"
1201,"Felletti-Maj 1940, p. 339; Serra 2016-2017"
1202,"Felletti-Maj 1940, p. 339; Serra 2016-2017; Serra 2025, p. 245"
1203,"Felletti-Maj 1940, pp. 339-340; Bisi, Camerin 1993, p. 28; Serra 2016-2017; Serra 2025, p.  233"
1204,"Felletti-Maj 1940, p. 340; Serra 2016-2017; Serra 2025, p. 246"
1205,"Felletti-Maj 1940, p. 340; Serra 2016-2017"
1206,"Felletti-Maj 1940, p. 340; Serra 2016-2017"
1207,"Felletti-Maj 1940, p. 340; Serra 2016-2017"
1208,"Felletti-Maj 1940, p. 340; Serra 2016-2017"
1209,"Baldoni 1981, p. 117, n. 73; Felletti-Maj 1940, p. 340; Serra 2016-2017"
1210,"Berti 1987, pp. 359-368; Berti 1987, pp. 359-368; Felletti-Maj 1940, p. 340; Serra 2016-2017; Baldoni in Spina 2023, p. 297"
1211,"Felletti-Maj 1940, p. 340; Serra 2016-2017"
1212,Trevisanello 2024
1213,"Felletti-Maj 1940, p. 341; Serra 2022; Serra 2025, p. 246"
