N. Tomba,Bibliografia essenziale
261,"Negrioli 1927, pp. 158-159; Pozzi 2011; Uggeri 1978, n. 13a, p. 353; Parrini 2021, pp. 291-292; Trevisanello 2024"
262,"Negrioli 1927, pp. 158-159; Uggeri 1978, p. 358; Pozzi 2011; Serra 2022; Serra in Spina 2023, p. 207; Serra 2025, p. 235"
263,"Negrioli 1927, p. 159; Gaucci 2014"
264,"Negrioli 1927, pp. 159-160, tav. XIV; Aurigemma 1960, pp. 175-178, tavv. 202-205; Gaucci 2014; Serra in Spina 2022, pp. 112-113; Serra in Spina 2023, pp. 160-162"
265,Gaucci 2014
266,"Negrioli 1927, pp. 145 e 193; Berti 1983, p. 109; Gaucci 2014"
267,"Gaucci 2014; Desantis in Rasna 2019, p. 415"
268,"Serra 2022; Serra in Spina 2023, pp. 163-164; Serra 2025, p. 232"
269,"Negrioli 1927, p. 160; Gaucci 2014"
270,Gaucci 2014
271,"Negrioli 1927, pp. 160-162, fig. 7, tav. XV, e p. 197; Berti 1983, p. 112, tav. I, figg. 58-59; Aurigemma 1960, pp. 159-164, tavv. 183-190; Gaucci 2014"
272,"Baldoni 1981, pp. 113-114, n. 68; Gaucci 2014"
273,"Gaucci 2014; Serra 2025, p. 246"
274,"Gaucci 2014; Di Giorno in Spina 2023, pp. 158-159"
275,Gaucci 2014
276,"Negrioli 1927, pp. 162, 195; Gaucci 2014"
277,Gaucci 2014
278,Gaucci 2014
279,"Gaucci 2014; Serra 2025, p. 235"
280,"Baldoni 1981, p. 89, n. 29; Gaucci 2014"
281,"Negrioli 1927, pp. 163, 195; Gaucci 2014"
282,Gaucci 2014
283,"Baldoni 1981, pp. 81-82, n. 19; Gaucci 2014"
284,Gaucci 2014
285,Gaucci 2014
286,Gaucci 2014
287,Gaucci 2014
288,"Classico Anticlassico, p. 148; Felletti Maj 1940, p. 59, n. 53, tav. Vi,1; Mostra 1960, p. 334, n. 1065; Alfieri 1979, p. 139, fig. 406; Baldoni 1981, p. 168, n. 140; Gaucci 2014; Bandini in Spina 2023, p. 377"
289,"Parrini 1993c, p. 63; Gaucci 2014"
290,"Classico Anticlassico 1996, p. 153; "
291,Natalucci 2014-2015
292,"Negrioli 1927, p. 163; Pozzi 2011; Uggeri 1978, p. 388; Trevisanello 2024"
293,Gaucci 2014
294,Gaucci 2014
295,"Berti 1991, p. 42; Parrini 2021, pp. 293-294; Gaucci 2014"
296,"Baldoni 1981, pp. 144-145, n. 110; Gaucci 2014"
297,Trevisanello 2024
298,"Gaucci 2014; Serra in Spina 2023, p. 89; Serra 2025, p. 235"
299,Gaucci 2014
300,"Negrioli 1927, p. 193; Aurigemma 1960, pp. 98-101; Gaucci 2014"
301,Gaucci 2014
302,Gaucci 2014
303,"Aurigemma 1965, pp. 15-17, tavv. 10-13; Negrioli 1927, p. 164; Pozzi 2011; Trevisanello 2024"
304,"Baldoni 1981, pp. 92-93, n. 35; Gaucci 2014"
305,"Negrioli 1927, p. 145; Gaucci 2014"
306,"Negrioli 1927, pp. 164-165, fig. 8, p. 196; Malnati 1993, p. 156; Hostetter 1986, pp. 30-31, n. 7; Gaucci 2014"
307,Gaucci 2014
308,"Negrioli 1927, pp. 145, 165-166, 197; Aurigemma 1960, pp. 137-141, tavv. 155-162; Berti 1983, p. 43, fig. 13; Paoli 1993, pp. 98-99; Gaucci 2014; Serra in Spina 2023, p. 179"
309,"Negrioli 1927, p. 145; Pozzi 2011; Uggeri 1978, p. 397; Trevisanello 2024"
310,"Baldoni 1981, p. 126, n. 85; Gaucci 2014"
311,"Negrioli 1927, p. 166, tav. XVI, pp. 145 e 193; Felletti Maj 1940, p. 45; Aurigemma 1960, pp. 121-123, tavv. 139-142; Gaucci 2014; Trevisanello in Spina 2023, p. 194"
312,"Gaucci 2014; Serra 2025, p. 235"
